INDEX,ID,PLAYER_NAME,REG_OFF_REB,REG_DEF_REB,PLY_OFF_REB,PLY_DEF_REB
0,76001,Alaa Abdelnaby,1.1,2.2,0.2,1.0
1,76002,Zaid Abdul-Aziz,2.4,5.4,1.0,2.5
2,76003,Kareem Abdul-Jabbar,2.4,7.6,2.6,6.5
3,51,Mahmoud Abdul-Rauf,0.4,1.5,0.3,1.2
4,1505,Tariq Abdul-Wahad,1.2,2.1,1.3,1.8
5,949,Shareef Abdur-Rahim,2.3,5.3,1.3,3.5
6,76005,Tom Abernethy,1.2,2.0,1.1,2.2
7,76006,Forest Able,0,0,0,0
8,76007,John Abramovic,0,0,0,0
9,203518,Alex Abrines,0.3,1.1,0.5,1.8
10,1630173,Precious Achiuwa,1.7,3.7,0.9,3.0
11,101165,Alex Acker,0.3,0.7,0,0
12,76008,Donald Ackerman,0,0,0,0
13,76009,Mark Acres,1.5,2.5,0.7,1.2
14,76010,Charles Acton,0,0,0,0
15,203112,Quincy Acy,0.9,2.6,0,0
16,76011,Alvan Adams,2.0,5.0,2.2,5.4
17,76012,Don Adams,1.4,3.3,1.6,3.3
18,200801,Hassan Adams,0.5,0.7,0.0,0.2
19,1629121,Jaylen Adams,0.3,1.3,0.3,0.7
20,203919,Jordan Adams,0.3,0.7,0.0,0.3
21,149,Michael Adams,0.6,2.3,0.7,2.7
22,203500,Steven Adams,3.7,4.5,2.7,4.6
23,912,Rafael Addison,0.7,1.4,0.5,0.5
24,1628389,Bam Adebayo,2.2,6.3,2.5,6.6
25,1629061,Deng Adel,0.2,0.8,0,0
26,76015,Rick Adelman,0.4,1.1,0.1,0.7
27,202399,Jeff Adrien,1.4,2.9,0,0
28,201167,Arron Afflalo,0.4,2.4,0.2,1.5
29,1630534,Ochai Agbaji,0.7,1.3,0,0
30,200772,Maurice Ager,0.1,0.5,0.3,0.7
31,76016,Mark Aguirre,1.8,3.1,1.8,3.5
32,201336,Blake Ahearn,0.1,1.1,0.0,0.0
33,76017,Danny Ainge,0.7,2.0,0.6,1.7
