INDEX,PLAYER_ID,PLAYER_NAME,R_PPG,R_APG,R_RPG,R_SPG,R_BPG,R_FG,R_eFG,R_TS,P_PPG,P_APG,P_RPG,P_SPG,P_BPG,P_FG,P_eFG,P_TS
0,76001,Alaa Abdelnaby,6.0,0.3,3.4,0.3,0.3,0.507,0.507,0.535,2.2,0.2,1.2,0,0.1,0.45,0.45,0.455
1,76002,Zaid Abdul-Aziz,8.7,1.1,7.9,0.6,0.9,0.422,0.422,0.473,5.1,0.5,3.6,0.1,0.7,0.529,0.529,0.565
2,76003,Kareem Abdul-Jabbar,24.6,3.6,11.2,0.9,2.6,0.559,0.559,0.592,24.3,3.2,10.5,1.0,2.4,0.533,0.533,0.571
3,51,Mahmoud Abdul-Rauf,14.6,3.5,1.9,0.8,0.1,0.442,0.472,0.506,13.0,2.3,1.5,0.5,0.1,0.369,0.406,0.471
4,1505,Tariq Abdul-Wahad,8.3,1.2,3.6,0.8,0.4,0.416,0.421,0.467,5.2,0.8,3.2,0.3,0.3,0.381,0.381,0.462
5,949,Shareef Abdur-Rahim,17.9,2.5,7.5,1.0,0.7,0.472,0.479,0.55,9.2,1.2,4.8,0.3,0,0.535,0.535,0.554
6,76005,Tom Abernethy,5.1,1.1,3.0,0.5,0.2,0.489,0.489,0.531,5.2,1.8,3.2,0.5,0.2,0.407,0.407,0.509
7,76006,Forest Able,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
8,76007,John Abramovic,8.3,0.6,0.0,0.0,0.0,0.233,0.233,0.281,0,0,0,0,0,0,0,0
9,203518,Alex Abrines,5.3,0.5,1.4,0.5,0.1,0.387,0.525,0.552,4.4,0.5,2.3,0.5,0.2,0.372,0.5,0.526
10,1630173,Precious Achiuwa,7.8,0.9,5.3,0.5,0.5,0.474,0.508,0.529,7.6,0.7,3.9,0.1,0.8,0.5,0.545,0.547
11,101165,Alex Acker,2.8,0.5,1.0,0.2,0.1,0.381,0.426,0.433,0,0,0,0,0,0,0,0
12,76008,Donald Ackerman,1.5,0.8,0.5,0.0,0.0,0.222,0.222,0.285,0.5,0.2,1.0,0,0,0.333,0.333,0
13,76009,Mark Acres,3.6,0.5,4.1,0.4,0.3,0.507,0.511,0.551,1.9,0.1,1.9,0.1,0.1,0.519,0.519,0.53
14,76010,Charles Acton,3.3,0.5,2.0,0.0,0.0,0.392,0.392,0.444,0,0,0,0,0,0,0,0
15,203112,Quincy Acy,4.6,0.6,3.4,0.4,0.4,0.442,0.511,0.552,0,0,0,0,0,0,0,0
16,76011,Alvan Adams,14.1,4.1,7.0,1.3,0.8,0.498,0.498,0.541,13.8,4.1,7.5,1.1,0.9,0.473,0.473,0.516
17,76012,Don Adams,9.1,1.8,5.8,1.1,0.2,0.399,0.399,0.45,7.1,2.0,5.3,0.5,0.1,0.382,0.382,0.423
18,200801,Hassan Adams,2.5,0.2,1.2,0.2,0.1,0.534,0.534,0.556,0.3,0,0.2,0,0,0.5,0.5,0
19,1629121,Jaylen Adams,2.7,1.6,1.5,0.3,0.1,0.331,0.436,0.451,2.0,0.7,1.0,0.3,0,0.333,0.333,0
20,203919,Jordan Adams,3.2,0.6,0.9,0.6,0.2,0.402,0.457,0.484,1.8,0,0.2,0.2,0,0.667,0.833,0.735
21,149,Michael Adams,14.7,6.4,2.9,1.7,0.1,0.415,0.475,0.536,12.8,5.2,3.4,1.6,0.1,0.37,0.446,0.499
22,203500,Steven Adams,9.2,1.5,8.2,0.9,1.0,0.587,0.587,0.591,7.7,1.0,7.4,0.5,0.9,0.614,0.614,0.613
23,912,Rafael Addison,5.8,0.9,2.1,0.4,0.2,0.449,0.466,0.496,3.7,1.0,1.0,0.5,0,0.321,0.339,0.375
24,1628389,Bam Adebayo,14.7,3.4,8.5,1.0,0.9,0.554,0.555,0.604,15.9,3.4,9.0,0.9,0.7,0.526,0.526,0.575
25,1629061,Deng Adel,1.7,0.3,1.0,0.1,0.2,0.306,0.389,0.424,0,0,0,0,0,0,0,0
26,76015,Rick Adelman,7.5,3.3,2.4,1.0,0.1,0.415,0.415,0.467,5.8,1.9,1.3,0.5,0,0.448,0.448,0.501
27,202399,Jeff Adrien,5.2,0.7,4.7,0.4,0.6,0.489,0.489,0.53,0,0,0,0,0,0,0,0
28,201167,Arron Afflalo,11.0,1.8,2.9,0.5,0.2,0.447,0.511,0.554,6.0,1.2,1.7,0.3,0.2,0.424,0.466,0.501
29,1630534,Ochai Agbaji,7.9,1.1,2.1,0.3,0.3,0.427,0.532,0.561,0,0,0,0,0,0,0,0
30,200772,Maurice Ager,2.0,0.2,0.5,0.1,0.1,0.335,0.362,0.389,5.0,0,1.0,0,0,0.556,0.667,0.644
31,76016,Mark Aguirre,19.9,3.1,4.9,0.7,0.3,0.483,0.496,0.54,17.1,2.6,5.3,0.7,0.2,0.485,0.501,0.54
32,201336,Blake Ahearn,4.6,1.2,1.2,0.4,0.0,0.273,0.364,0.481,1.7,0.7,0,0,0,0.667,0.833,0
33,76017,Danny Ainge,11.9,4.1,2.7,1.1,0.1,0.468,0.519,0.555,9.9,3.4,2.3,0.9,0.1,0.456,0.511,0.55
34,201582,Alexis Ajinca,5.2,0.5,3.8,0.3,0.6,0.497,0.506,0.543,2.7,0.3,0.3,0.3,0,1.0,1.0,0
35,76018,Henry Akin,3.5,0.5,2.1,0.0,0.0,0.351,0.351,0.383,1.5,0,4.0,0,0,0.143,0.143,0.19
36,203006,Josh Akognon,1.7,0.3,0.3,0.0,0.0,0.5,0.625,0,0,0,0,0,0,0,0,0
37,1629152,DeVaughn Akoon-Purcell,1.0,0.9,0.6,0.3,0.0,0.3,0.3,0.322,0,0,0,0,0,0,0,0
