YEAR,BPG,STAT
1950,0,bpg
1951,0,bpg
1952,0,bpg
1953,0,bpg
1954,0,bpg
1955,0,bpg
1956,0,bpg
1957,0,bpg
1958,0,bpg
1959,0,bpg
1960,0,bpg
1961,0,bpg
1962,0,bpg
1963,0,bpg
1964,0,bpg
1965,0,bpg
1966,0,bpg
1967,0,bpg
1968,0,bpg
1969,0,bpg
1970,0,bpg
1971,0,bpg
1972,0,bpg
1973,0,bpg
1974,0.5,bpg
1975,0.42,bpg
1976,0.46,bpg
1977,0.48,bpg
1978,0.54,bpg
1979,0.58,bpg
1980,0.56,bpg
1981,0.52,bpg
1982,0.54,bpg
1983,0.54,bpg
1984,0.5,bpg
1985,0.52,bpg
1986,0.5,bpg
1987,0.54,bpg
1988,0.52,bpg
1989,0.5,bpg
1990,0.48,bpg
1991,0.52,bpg
1992,0.54,bpg
1993,0.52,bpg
1994,0.48,bpg
1995,0.5,bpg
1996,0.5,bpg
1997,0.48,bpg
1998,0.48,bpg
1999,0.48,bpg
2000,0.5,bpg
2001,0.52,bpg
2002,0.5,bpg
2003,0.5,bpg
2004,0.48,bpg
2005,0.48,bpg
2006,0.44,bpg
2007,0.44,bpg
2008,0.46,bpg
2009,0.46,bpg
2010,0.5,bpg
2011,0.46,bpg
2012,0.5,bpg
2013,0.48,bpg
2014,0.46,bpg
2015,0.44,bpg
2016,0.46,bpg
2017,0.46,bpg
2018,0.46,bpg
2019,0.48,bpg
2020,0.48,bpg
2021,0.48,bpg
2022,0.5,bpg
2023,0.48,bpg
