YEAR,TS,STAT
1950,40.94,true-shooting-percentage
1951,42.7,true-shooting-percentage
1952,43.84,true-shooting-percentage
1953,44.52,true-shooting-percentage
1954,44.06,true-shooting-percentage
1955,45.22,true-shooting-percentage
1956,45.64,true-shooting-percentage
1957,44.88,true-shooting-percentage
1958,44.9,true-shooting-percentage
1959,45.66,true-shooting-percentage
1960,46.28,true-shooting-percentage
1961,46.88,true-shooting-percentage
1962,47.82,true-shooting-percentage
1963,49.18,true-shooting-percentage
1964,48.48,true-shooting-percentage
1965,47.92,true-shooting-percentage
1966,48.68,true-shooting-percentage
1967,49.3,true-shooting-percentage
1968,49.8,true-shooting-percentage
1969,49.1,true-shooting-percentage
1970,51.1,true-shooting-percentage
1971,50.02,true-shooting-percentage
1972,50.44,true-shooting-percentage
1973,49.86,true-shooting-percentage
1974,50.34,true-shooting-percentage
1975,50.2,true-shooting-percentage
1976,50.36,true-shooting-percentage
1977,51.12,true-shooting-percentage
1978,51.44,true-shooting-percentage
1979,53.02,true-shooting-percentage
1980,53.16,true-shooting-percentage
1981,53.44,true-shooting-percentage
1982,53.86,true-shooting-percentage
1983,53.16,true-shooting-percentage
1984,54.3,true-shooting-percentage
1985,54.34,true-shooting-percentage
1986,54.08,true-shooting-percentage
1987,53.82,true-shooting-percentage
1988,53.84,true-shooting-percentage
1989,53.76,true-shooting-percentage
1990,53.64,true-shooting-percentage
1991,53.46,true-shooting-percentage
1992,53.14,true-shooting-percentage
1993,53.64,true-shooting-percentage
1994,52.82,true-shooting-percentage
1995,54.3,true-shooting-percentage
1996,54.18,true-shooting-percentage
1997,53.54,true-shooting-percentage
1998,52.34,true-shooting-percentage
1999,51.16,true-shooting-percentage
2000,52.28,true-shooting-percentage
2001,51.76,true-shooting-percentage
2002,52.04,true-shooting-percentage
2003,51.92,true-shooting-percentage
2004,51.66,true-shooting-percentage
2005,52.98,true-shooting-percentage
2006,53.6,true-shooting-percentage
2007,54.16,true-shooting-percentage
2008,54.02,true-shooting-percentage
2009,54.52,true-shooting-percentage
2010,54.36,true-shooting-percentage
2011,54.18,true-shooting-percentage
2012,52.76,true-shooting-percentage
2013,53.5,true-shooting-percentage
2014,54.12,true-shooting-percentage
2015,53.5,true-shooting-percentage
2016,54.2,true-shooting-percentage
2017,55.32,true-shooting-percentage
2018,55.74,true-shooting-percentage
2019,56.22,true-shooting-percentage
2020,56.76,true-shooting-percentage
2021,57.52,true-shooting-percentage
2022,57.08,true-shooting-percentage
2023,58.6,true-shooting-percentage
