YEAR,eFG,STAT
1950,33.96,effective-field-goal-percentage
1951,35.62,effective-field-goal-percentage
1952,36.62,effective-field-goal-percentage
1953,36.96,effective-field-goal-percentage
1954,37.1,effective-field-goal-percentage
1955,38.28,effective-field-goal-percentage
1956,38.56,effective-field-goal-percentage
1957,37.94,effective-field-goal-percentage
1958,38.26,effective-field-goal-percentage
1959,39.4,effective-field-goal-percentage
1960,40.9,effective-field-goal-percentage
1961,41.44,effective-field-goal-percentage
1962,42.58,effective-field-goal-percentage
1963,44.0,effective-field-goal-percentage
1964,43.3,effective-field-goal-percentage
1965,42.64,effective-field-goal-percentage
1966,43.32,effective-field-goal-percentage
1967,44.12,effective-field-goal-percentage
1968,44.66,effective-field-goal-percentage
1969,44.1,effective-field-goal-percentage
1970,45.98,effective-field-goal-percentage
1971,44.94,effective-field-goal-percentage
1972,45.46,effective-field-goal-percentage
1973,45.72,effective-field-goal-percentage
1974,45.94,effective-field-goal-percentage
1975,45.76,effective-field-goal-percentage
1976,45.86,effective-field-goal-percentage
1977,46.56,effective-field-goal-percentage
1978,46.88,effective-field-goal-percentage
1979,48.64,effective-field-goal-percentage
1980,48.58,effective-field-goal-percentage
1981,48.86,effective-field-goal-percentage
1982,49.52,effective-field-goal-percentage
1983,48.86,effective-field-goal-percentage
1984,49.56,effective-field-goal-percentage
1985,49.64,effective-field-goal-percentage
1986,49.28,effective-field-goal-percentage
1987,48.88,effective-field-goal-percentage
1988,48.96,effective-field-goal-percentage
1989,48.96,effective-field-goal-percentage
1990,48.86,effective-field-goal-percentage
1991,48.8,effective-field-goal-percentage
1992,48.7,effective-field-goal-percentage
1993,49.08,effective-field-goal-percentage
1994,48.58,effective-field-goal-percentage
1995,50.02,effective-field-goal-percentage
1996,49.86,effective-field-goal-percentage
1997,49.28,effective-field-goal-percentage
1998,47.82,effective-field-goal-percentage
1999,46.6,effective-field-goal-percentage
2000,47.82,effective-field-goal-percentage
2001,47.26,effective-field-goal-percentage
2002,47.74,effective-field-goal-percentage
2003,47.4,effective-field-goal-percentage
2004,47.16,effective-field-goal-percentage
2005,48.32,effective-field-goal-percentage
2006,49.12,effective-field-goal-percentage
2007,49.72,effective-field-goal-percentage
2008,49.76,effective-field-goal-percentage
2009,50.08,effective-field-goal-percentage
2010,50.18,effective-field-goal-percentage
2011,49.9,effective-field-goal-percentage
2012,48.82,effective-field-goal-percentage
2013,49.68,effective-field-goal-percentage
2014,50.18,effective-field-goal-percentage
2015,49.72,effective-field-goal-percentage
2016,50.38,effective-field-goal-percentage
2017,51.54,effective-field-goal-percentage
2018,52.3,effective-field-goal-percentage
2019,52.72,effective-field-goal-percentage
2020,53.26,effective-field-goal-percentage
2021,54.18,effective-field-goal-percentage
2022,53.74,effective-field-goal-percentage
2023,55.12,effective-field-goal-percentage
