All-Rookie 1st Team
YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG
2023,Paolo Banchero,PF,Orlando Magic,.427,20.0,6.9,3.7,0.5
,Walker Kessler,C,Utah Jazz,.720,9.2,8.4,0.9,2.3
,Jalen Williams,F,Oklahoma City Thunder,.521,14.1,4.5,3.3,0.5
,Keegan Murray,SF,Sacramento Kings,.453,12.2,4.6,1.2,0.5
,Bennedict Mathurin,SG,Indiana Pacers,.434,16.7,4.1,1.5,0.2
2022,Evan Mobley,C,Cleveland Cavaliers,.508,15.0,8.3,2.5,1.7
,Cade Cunningham,PG,Detroit Pistons,.416,17.4,5.5,5.6,0.7
,Scottie Barnes,SF,Toronto Raptors,.492,15.3,7.5,3.5,0.7
,Jalen Green,SG,Houston Rockets,.426,17.3,3.4,2.6,0.3
,Franz Wagner,SF,Orlando Magic,.468,15.2,4.5,2.9,0.4
2021,Jae'Sean Tate,SF,Houston Rockets,.506,11.3,5.3,2.5,0.5
,Tyrese Haliburton,PG,Sacramento Kings,.472,13.0,3.0,5.3,0.5
,Saddiq Bey,SF,Detroit Pistons,.404,12.2,4.5,1.4,0.2
,LaMelo Ball,PG,Charlotte Hornets,.436,15.7,5.9,6.1,0.4
,Anthony Edwards,SF,Minnesota Timberwolves,.417,19.3,4.7,2.9,0.5
2020,Kendrick Nunn,G,Miami Heat,.439,15.3,2.7,3.3,0.2
,Eric Paschall,F,Golden State Warriors,.497,14.0,4.6,2.1,0.2
,Brandon Clarke,F,Memphis Grizzlies,.618,12.1,5.9,1.4,0.8
,Ja Morant,G,Memphis Grizzlies,.477,17.8,3.9,7.3,0.3
,Zion Williamson,F,New Orleans Pelicans,.583,22.5,6.3,2.1,0.4
2019,Luka Doncic,G,Dallas Mavericks,.427,21.2,7.8,6.0,0.3
,Marvin Bagley III,F,Sacramento Kings,.504,14.9,7.6,1.0,1.0
,Trae Young,G,Atlanta Hawks,.418,19.1,3.7,8.1,0.2
,Jaren Jackson Jr.,F,Memphis Grizzlies,.506,13.8,4.7,1.1,1.4
,Deandre Ayton,C,Phoenix Suns,.585,16.3,10.3,1.8,0.9
2018,Kyle Kuzma,F,Los Angeles Lakers,.450,16.1,6.3,1.8,0.4
,Ben Simmons,F,Philadelphia 76ers,.545,15.8,8.1,8.2,0.9
,Donovan Mitchell,G,Utah Jazz,.437,20.5,3.7,3.7,0.3
,Jayson Tatum,F,Boston Celtics,.475,13.9,5.0,1.6,0.7
,Lauri Markkanen,F,Chicago Bulls,.434,15.2,7.5,1.2,0.6
2017,Malcolm Brogdon,G,Milwaukee Bucks,.457,10.2,2.8,4.2,0.2
,Buddy Hield,G,Sacramento Kings,.426,10.6,3.3,1.5,0.1
,Willy Hernangomez,C,New York Knicks,.529,8.2,7.0,1.3,0.5
,Dario Saric,F,Philadelphia 76ers,.411,12.8,6.3,2.2,0.4
,Joel Embiid,C,Philadelphia 76ers,.466,20.2,7.8,2.1,2.5
2016,Kristaps Porzingis,F,New York Knicks,.421,14.3,7.3,1.3,1.9
,Nikola Jokic,C,Denver Nuggets,.512,10.0,7.0,2.4,0.6
,Jahlil Okafor,C,Philadelphia 76ers,.508,17.5,7.0,1.2,1.2
,Devin Booker,G,Phoenix Suns,.423,13.8,2.5,2.6,0.3
,Karl-Anthony Towns,F,Minnesota Timberwolves,.542,18.3,10.5,2.0,1.7
2015,Nikola Mirotic,F,Chicago Bulls,.405,10.2,4.9,1.2,0.7
,Jordan Clarkson,G,Los Angeles Lakers,.448,11.9,3.2,3.5,0.2
,Elfrid Payton,G,Orlando Magic,.425,8.9,4.3,6.5,0.2
,Nerlens Noel,C,Philadelphia 76ers,.462,9.9,8.1,1.7,1.9
,Andrew Wiggins,F,Minnesota Timberwolves,.437,16.9,4.6,2.1,0.6
2014,Mason Plumlee,F,Brooklyn Nets,.659,7.4,4.4,0.9,0.8
,Victor Oladipo,G,Orlando Magic,.419,13.8,4.1,4.1,0.5
,Tim Hardaway Jr.,G,New York Knicks,.428,10.2,1.5,0.8,0.1
,Trey Burke,G,Utah Jazz,.380,12.8,3.0,5.7,0.1
,Michael Carter-Williams,G,Philadelphia 76ers,.405,16.7,6.2,6.3,0.6
2013,Harrison Barnes,F,Golden State Warriors,.439,9.2,4.1,1.2,0.2
,Bradley Beal,G,Washington Wizards,.410,13.9,3.8,2.4,0.5
,Anthony Davis,F,New Orleans Hornets,.516,13.5,8.2,1.0,1.8
,Damian Lillard,G,Portland Trail Blazers,.429,19.0,3.1,6.5,0.2
,Dion Waiters,G,Cleveland Cavaliers,.412,14.7,2.4,3.0,0.3
2012,Ricky Rubio,G,Minnesota Timberwolves,.357,10.6,4.2,8.2,0.2
,Kenneth Faried,F,Denver Nuggets,.586,10.2,7.7,0.8,1.0
,Kyrie Irving,G,Cleveland Cavaliers,.469,18.5,3.7,5.4,0.4
,Brandon Knight,G,Detroit Pistons,.415,12.8,3.2,3.8,0.2
,Kawhi Leonard,F,San Antonio Spurs,.493,7.9,5.1,1.1,0.4
,Iman Shumpert,G,New York Knicks,.401,9.5,3.2,2.8,0.1
,Klay Thompson,G,Golden State Warriors,.443,12.5,2.4,2.0,0.3
2011,Blake Griffin,PF,LA Clippers,.506,22.5,12.1,3.8,0.5
,John Wall,PG,Washington Wizards,.409,16.4,4.6,8.3,0.5
,DeMarcus Cousins,C,Sacramento Kings,.430,14.1,8.6,2.5,0.8
,Landry Fields,SG,New York Knicks,.497,9.7,6.4,1.9,0.2
,Gary Neal,PG,San Antonio Spurs,.451,9.8,2.5,1.2,0.1
2010,Darren Collison,PG,New Orleans Hornets,.477,12.4,2.5,5.7,0.1
,Stephen Curry,PG,Golden State Warriors,.462,17.5,4.5,5.9,0.2
,Tyreke Evans,G,Sacramento Kings,.458,20.1,5.3,5.8,0.4
,Taj Gibson,F,Chicago Bulls,.494,9.0,7.5,0.9,1.3
,Brandon Jennings,G,Milwaukee Bucks,.371,15.5,3.4,5.7,0.2
2009,Michael Beasley,F,Miami Heat,.472,13.9,5.4,1.0,0.5
,Brook Lopez,C,New Jersey Nets,.531,13.0,8.1,1.0,1.8
,O.J. Mayo,SG,Memphis Grizzlies,.438,18.5,3.8,3.2,0.2
,Derrick Rose,PG,Chicago Bulls,.475,16.8,3.9,6.3,0.2
