All-Rookie 2nd Team
YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG
2023,Jabari Smith Jr.,PF,Houston Rockets,.408,12.8,7.2,1.3,0.9
,Tari Eason,F,Houston Rockets,.448,9.3,6.0,1.1,0.6
,Jaden Ivey,PG,Detroit Pistons,.416,16.3,3.9,5.2,0.2
,Jalen Duren,C,Detroit Pistons,.648,9.1,8.9,1.1,0.9
,Jeremy Sochan,F,San Antonio Spurs,.453,11.0,5.3,2.5,0.4
2022,Herbert Jones,SF,New Orleans Pelicans,.476,9.5,3.8,2.1,0.8
,Ayo Dosunmu,SG,Chicago Bulls,.520,8.8,2.8,3.3,0.4
,Chris Duarte,SG,Indiana Pacers,.432,13.1,4.1,2.1,0.2
,Bones Hyland,PG,Denver Nuggets,.403,10.1,2.7,2.8,0.3
,Josh Giddey,SG,Oklahoma City Thunder,.419,12.5,7.8,6.4,0.4
2021,Desmond Bane,SG,Memphis Grizzlies,.469,9.2,3.1,1.7,0.2
,Immanuel Quickley,SG,New York Knicks,.395,11.4,2.1,2.0,0.2
,Patrick Williams,PF,Chicago Bulls,.483,9.2,4.6,1.4,0.6
,Isaiah Stewart,C,Detroit Pistons,.553,7.9,6.7,0.9,1.3
,Isaac Okoro,SF,Cleveland Cavaliers,.420,9.6,3.1,1.9,0.4
2020,Terence Davis,G,Toronto Raptors,.456,7.5,3.3,1.6,0.2
,Rui Hachimura,F,Washington Wizards,.466,13.5,6.1,1.8,0.2
,P.J. Washington,F,Charlotte Hornets,.455,12.2,5.4,2.1,0.8
,Coby White,G,Chicago Bulls,.394,13.2,3.5,2.7,0.1
,Tyler Herro,G,Miami Heat,.428,13.5,4.1,2.2,0.2
2019,Landry Shamet,G,LA Clippers,.431,9.1,1.7,1.5,0.1
,Kevin Huerter,G,Atlanta Hawks,.419,9.7,3.3,2.9,0.3
,Collin Sexton,G,Cleveland Cavaliers,.430,16.7,2.9,3.0,0.1
,Shai Gilgeous-Alexander,G,LA Clippers,.476,10.8,2.8,3.3,0.5
,Mitchell Robinson,C,New York Knicks,.694,7.3,6.4,0.6,2.4
2018,Bogdan Bogdanovic,G,Sacramento Kings,.446,11.8,2.9,3.3,0.2
,John Collins,F,Atlanta Hawks,.576,10.5,7.3,1.3,1.1
,Dennis Smith Jr.,G,Dallas Mavericks,.395,15.2,3.8,5.2,0.3
,Josh Jackson,F,Phoenix Suns,.417,13.1,4.6,1.5,0.5
,Lonzo Ball,G,Los Angeles Lakers,.360,10.2,6.9,7.2,0.8
2017,Yogi Ferrell,G,Dallas Mavericks,.406,10.0,2.4,3.7,0.2
,Marquese Chriss,F,Phoenix Suns,.449,9.2,4.2,0.7,0.9
,Brandon Ingram,F,Los Angeles Lakers,.402,9.4,4.0,2.1,0.5
,Jaylen Brown,F,Boston Celtics,.454,6.6,2.8,0.8,0.2
,Jamal Murray,G,Denver Nuggets,.404,9.9,2.6,2.1,0.3
2016,Willie Cauley-Stein,F,Sacramento Kings,.563,7.0,5.3,0.6,1.0
,Myles Turner,F,Indiana Pacers,.498,10.3,5.5,0.7,1.4
,Justise Winslow,F,Miami Heat,.422,6.4,5.2,1.5,0.3
,D'Angelo Russell,G,Los Angeles Lakers,.410,13.2,3.4,3.3,0.2
,Emmanuel Mudiay,G,Denver Nuggets,.364,12.8,3.4,5.5,0.5
2015,Bojan Bogdanovic,F,Brooklyn Nets,.453,9.0,2.7,0.9,0.1
,Langston Galloway,G,New York Knicks,.399,11.8,4.2,3.3,0.3
,Marcus Smart,G,Boston Celtics,.367,7.8,3.3,3.1,0.3
,Zach LaVine,G,Minnesota Timberwolves,.422,10.1,2.8,3.6,0.1
,Jusuf Nurkic,C,Denver Nuggets,.446,6.9,6.2,0.8,1.1
2014,Kelly Olynyk,C,Boston Celtics,.466,8.7,5.2,1.6,0.4
,Gorgui Dieng,C,Minnesota Timberwolves,.498,4.8,5.0,0.7,0.8
,Cody Zeller,C,Charlotte Bobcats,.426,6.0,4.3,1.1,0.5
,Steven Adams,C,Oklahoma City Thunder,.503,3.3,4.1,0.5,0.7
,Giannis Antetokounmpo,F,Milwaukee Bucks,.414,6.8,4.4,1.9,0.8
2013,Kyle Singler,G,Detroit Pistons,.428,8.8,4.0,0.9,0.5
,Jonas Valanciunas,C,Toronto Raptors,.557,8.9,6.0,0.7,1.3
,Andre Drummond,C,Detroit Pistons,.608,7.9,7.6,0.5,1.6
,Michael Kidd-Gilchrist,F,Charlotte Bobcats,.458,9.0,5.8,1.5,0.9
,Tyler Zeller,C,Cleveland Cavaliers,.438,7.9,5.7,1.2,0.9
2012,MarShon Brooks,G,New Jersey Nets,.428,12.6,3.6,2.3,0.3
,Chandler Parsons,F,Houston Rockets,.452,9.5,4.8,2.1,0.5
