All-Star MVP,,,,,
YEAR,PLAYER,POS,TEAM,COUNT,ID
2023,Jayson Tatum,SF,Team Giannis Team Giannis,1,1628369
2022,Stephen Curry,PG,Golden State Warriors,1,201939
2021,Giannis Antetokounmpo,F,Milwaukee Bucks,1,203507
2020,Kawhi Leonard,F,LA Clippers,1,202695
2019,Kevin Durant,F,Golden State Warriors,2,201142
2018,LeBron James,F,Cleveland Cavaliers,3,2544
2017,Anthony Davis,F,New Orleans Pelicans,1,203076
2016,Russell Westbrook,G,Oklahoma City Thunder,2,201566
2015,Russell Westbrook,G,Oklahoma City Thunder,2,201566
2014,Kyrie Irving,G,Cleveland Cavaliers,1,202681
2013,Chris Paul,PG,LA Clippers,1,101108
2012,Kevin Durant,F,Oklahoma City Thunder,2,201142
2011,Kobe Bryant,G,Los Angeles Lakers,4,977
2010,Dwyane Wade,G,Miami Heat,1,2548
2009,Kobe Bryant,SF,Los Angeles Lakers,4,977
,Shaquille O'Neal,C,Phoenix Suns,3,406
2008,LeBron James,SF,Cleveland Cavaliers,3,2544
2007,Kobe Bryant,SF,Los Angeles Lakers,4,977
2006,LeBron James,SF,Cleveland Cavaliers,3,2544
2005,Allen Iverson,SG,Philadelphia 76ers,2,947
2004,Shaquille O'Neal,C,Los Angeles Lakers,3,406
2003,Kevin Garnett,PF,Minnesota Timberwolves,1,708
2002,Kobe Bryant,SF,Los Angeles Lakers,4,977
2001,Allen Iverson,SG,Philadelphia 76ers,2,947
2000,Tim Duncan,C,San Antonio Spurs,1,1495
1999,Shaquille O'Neal,C,Los Angeles Lakers,3,406
1998,Michael Jordan,G,Chicago Bulls,3,893
1997,Glen Rice,SF,Charlotte Hornets,1,779
1996,Michael Jordan,G,Chicago Bulls,3,893
1995,Mitch Richmond,G,Sacramento Kings,1,782
1994,Scottie Pippen,SF,Chicago Bulls,1,937
1993,Karl Malone,PF,Utah Jazz,2,252
,John Stockton,G,Utah Jazz,1,304
1992,Magic Johnson,F,Los Angeles Lakers,2,77142
1991,Charles Barkley,F,Philadelphia 76ers,1,787
1990,Magic Johnson,F,Los Angeles Lakers,2,77142
1989,Karl Malone,PF,Utah Jazz,2,252
1988,Michael Jordan,G,Chicago Bulls,3,893
1987,Tom Chambers,F,Seattle SuperSonics,1,1472
1986,Isiah Thomas,G,Detroit Pistons,2,78318
1985,Ralph Sampson,,Houston Rockets,1,78055
1984,Isiah Thomas,G,Detroit Pistons,2,78318
1983,Julius Erving,,Philadelphia 76ers,2,76681
1982,Larry Bird,,Boston Celtics,1,1449
1981,Nathaniel Archibald,,Boston Celtics,1,76054
1980,George Gervin,,San Antonio Spurs,1,76804
1979,David Thompson,,Denver Nuggets,1,78326
1978,Edward Smith,,Buffalo Braves,1,78187
1977,Julius Erving,,Philadelphia 76ers,2,76681
1976,Dave Bing,,Washington Bullets,1,76166
1975,Walter Frazier,,New York Knicks,1,76750
1974,Bob Lanier,,Detroit Pistons,1,600005
1973,David Cowens,,Boston Celtics,1,76462
1972,Jerry West,,Los Angeles Lakers,1,78497
1971,Lenny Wilkens,,Seattle SuperSonics,1,78530
1970,Willis Reed,,New York Knicks,1,77929
1969,Oscar Robertson,,Cincinnati Royals,3,600015
1968,Harold Greer,,Philadelphia 76ers,1,76882
1967,Rick Barry,,San Francisco Warriors,1,600013
1966,Adrian Smith,G,Cincinnati Royals,1,78178
1965,Jerry Lucas,C,Cincinnati Royals,1,77418
1964,Oscar Robertson,,Cincinnati Royals,3,600015
1963,Bill Russell,,Boston Celtics,1,78049
1962,Bob Pettit,,St. Louis Hawks,3,77847
1961,Oscar Robertson,,Cincinnati Royals,3,600015
1960,Wilt Chamberlain,,Philadelphia Warriors,1,76375
1959,Elgin Baylor,,Minneapolis Lakers,1,76127
1958,Bob Pettit,,St. Louis Hawks,3,77847
1957,Bob Cousy,,Boston Celtics,2,600003
1956,Bob Pettit,,St. Louis Hawks,3,77847
1955,Bill Sharman,,Boston Celtics,1,78126
1954,Bob Cousy,,Boston Celtics,2,600003
1953,George Mikan,,Minneapolis Lakers,1,600012
1952,Paul Arizin,F,Philadelphia Warriors,1,76056
1951,Charles Macauley,,Boston Celtics,1,77429
