All-Defensive 1st Team
YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG
2023,Brook Lopez,C,Milwaukee Bucks,.531,15.9,6.7,1.3,2.5
,Jrue Holiday,PG,Milwaukee Bucks,.479,19.3,5.1,7.4,0.4
,Alex Caruso,SG,Chicago Bulls,.455,5.6,2.9,2.9,0.7
,Jaren Jackson Jr.,PF,Memphis Grizzlies,.506,18.6,6.8,1.0,3.0
,Evan Mobley,PF,Cleveland Cavaliers,.554,16.2,9.0,2.8,1.5
2022,Marcus Smart,PG,Boston Celtics,.418,12.1,3.8,5.9,0.3
,Rudy Gobert,C,Utah Jazz,.713,15.6,14.7,1.1,2.1
,Giannis Antetokounmpo,PF,Milwaukee Bucks,.553,29.9,11.6,5.8,1.4
,Mikal Bridges,SF,Phoenix Suns,.534,14.2,4.2,2.3,0.4
,Jaren Jackson Jr.,PF,Memphis Grizzlies,.415,16.3,5.8,1.1,2.3
2021,Jrue Holiday,PG,Milwaukee Bucks,.503,17.7,4.5,6.1,0.6
,Draymond Green,PF,Golden State Warriors,.447,7.0,7.1,8.9,0.8
,Rudy Gobert,C,Utah Jazz,.675,14.3,13.5,1.3,2.7
,Giannis Antetokounmpo,PF,Milwaukee Bucks,.569,28.1,11.0,5.9,1.2
,Ben Simmons,PG,Philadelphia 76ers,.557,14.3,7.2,6.9,0.6
2020,Anthony Davis,F,Los Angeles Lakers,.503,26.1,9.3,3.2,2.3
,Marcus Smart,G,Boston Celtics,.375,12.9,3.8,4.9,0.5
,Rudy Gobert,C,Utah Jazz,.693,15.1,13.5,1.5,2.0
,Giannis Antetokounmpo,F,Milwaukee Bucks,.553,29.5,13.6,5.6,1.0
,Ben Simmons,G,Philadelphia 76ers,.580,16.4,7.8,8.0,0.6
2019,Eric Bledsoe,G,Milwaukee Bucks,.484,15.9,4.6,5.5,0.4
,Paul George,F,Oklahoma City Thunder,.438,28.0,8.2,4.1,0.4
,Marcus Smart,G,Boston Celtics,.422,8.9,2.9,4.0,0.4
,Rudy Gobert,C,Utah Jazz,.669,15.9,12.9,2.0,2.3
,Giannis Antetokounmpo,F,Milwaukee Bucks,.578,27.7,12.5,5.9,1.5
