PLAYER,ID,COUNT
Jaren Jackson Jr.,1628991,1
Marcus Smart,203935,1
Rudy Gobert,203497,3
Giannis Antetokounmpo,203507,1
Draymond Green,203110,1
Kawhi Leonard,202695,2
Joakim Noah,201149,1
Marc Gasol,201188,1
Tyson Chandler,2199,1
Dwight Howard,2730,3
Kevin Garnett,708,1
Marcus Camby,948,1
Ben Wallace,1112,4
Metta World Peace,1897,1
Alonzo Mourning,297,2
Dikembe Mutombo,87,4
Gary Payton,56,1
Hakeem Olajuwon,165,2
David Robinson,764,1
Dennis Rodman,23,2
Michael Jordan,893,1
Michael Cooper,76444,1
Alvin Robertson,926,1
Mark Eaton,76631,2
Sidney Moncrief,77626,2
