Most Improved Player,,,,,,,,,,
YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG,,
2023,Lauri Markkanen,PF,Utah Jazz,0.499,25.6,8.6,1.9,0.6,1628374,1
2022,Ja Morant,PG,Memphis Grizzlies,0.493,27.4,5.7,6.7,0.4,1629630,1
2021,Julius Randle,PF,New York Knicks,0.456,24.1,10.2,6,0.3,203944,1
2020,Brandon Ingram,F,New Orleans Pelicans,0.463,23.8,6.1,4.2,0.6,1627742,1
2019,Pascal Siakam,F,Toronto Raptors,0.549,16.9,6.9,3.1,0.7,1627783,1
2018,Victor Oladipo,G,Indiana Pacers,0.477,23.1,5.2,4.3,0.8,203506,1
2017,Giannis Antetokounmpo,F,Milwaukee Bucks,0.521,22.9,8.8,5.4,1.9,203507,1
2016,CJ McCollum,G,Portland Trail Blazers,0.448,20.8,3.2,4.3,0.3,203468,1
2015,Jimmy Butler,G,Chicago Bulls,0.462,20,5.8,3.3,0.6,202710,1
2014,Goran Dragic,G,Phoenix Suns,0.505,20.3,3.2,5.9,0.3,201609,1
2013,Paul George,G,Indiana Pacers,0.419,17.4,7.6,4.1,0.6,202331,1
2012,Ryan Anderson,PF,Orlando Magic,0.439,16.1,7.7,0.9,0.4,201583,1
2011,Kevin Love,PF,Minnesota Timberwolves,0.47,20.2,15.2,2.5,0.4,201567,1
2010,Aaron Brooks,G,Houston Rockets,0.432,19.6,2.6,5.3,0.2,201166,1
2009,Danny Granger,SF,Indiana Pacers,0.447,25.8,5.1,2.7,1.4,101122,1
2008,Hedo Turkoglu,SF,Orlando Magic,0.456,19.5,5.7,5,0.3,2045,1
2007,Monta Ellis,SG,Golden State Warriors,0.475,16.5,3.2,4.1,0.3,101145,1
2006,Boris Diaw,C,Phoenix Suns,0.526,13.3,6.9,6.2,1,2564,1
2005,Bobby Simmons,SF,LA Clippers,0.466,16.4,5.9,2.7,0.2,2250,1
2004,Zach Randolph,F,Portland Trail Blazers,0.485,20.1,10.5,2,0.5,2216,1
2003,Gilbert Arenas,PG,Golden State Warriors,0.431,18.3,4.7,6.3,0.2,2240,1
2002,Jermaine O'Neal,C,Indiana Pacers,0.479,19,10.5,1.6,2.3,979,1
2001,Tracy McGrady,SG,Orlando Magic,0.457,26.8,7.5,4.6,1.5,1503,1
2000,Jalen Rose,SG,Indiana Pacers,0.471,18.2,4.8,4,0.6,147,1
1999,Darrel Armstrong,PG,Orlando Magic,0.441,13.8,3.6,6.7,0.1,353,1
1998,Alan Henderson,PF,Atlanta Hawks,0.485,14.3,6.4,1.1,0.5,673,1
1997,Isaac Austin,C,Miami Heat,0.502,9.7,5.8,1.2,0.5,1134,1
1996,Gheorghe Muresan,C,Washington Bullets,0.584,14.5,9.6,0.7,2.3,49,1
1995,Dana Barros,PG,Philadelphia 76ers,0.49,20.6,3.3,7.5,0,344,1
1994,Don Maclean,F,Washington Bullets,0.502,18.2,6.2,2.1,0.3,931,1
1993,Mahmoud Abdul-Rauf,G,Denver Nuggets,0.45,19.2,2.8,4.2,0.1,51,1
1992,Pervis Ellison,F,Washington Bullets,0.539,20,11.2,2.9,2.7,442,1
1991,Scott Skiles,G,Orlando Magic,0.445,17.2,3.4,8.4,0.1,101,1
1990,Rony Seikaly,C,Miami Heat,0.502,16.6,10.4,1.1,1.7,938,1
1989,Kevin Johnson,G,Phoenix Suns,0.505,20.4,4.2,12.2,0.3,134,1
1988,Kevin Duckworth,C,Portland Trail Blazers,0.496,15.8,7.4,0.8,0.4,404,1
1987,Dale Ellis,G,Seattle SuperSonics,0.516,24.9,5.5,2.9,0.4,107,1
1986,Alvin Robertson,G,San Antonio Spurs,0.514,17,6.3,5.5,0.5,926,1
