Rookie of the Year,,,,,,,,,,
YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG,,
2023,Paolo Banchero,PF,Orlando Magic,0.427,20,6.9,3.7,0.5,1631094,1
2022,Scottie Barnes,SF,Toronto Raptors,0.492,15.3,7.5,3.5,0.7,1630567,1
2021,LaMelo Ball,PG,Charlotte Hornets,0.436,15.7,5.9,6.1,0.4,1630163,1
2020,Ja Morant,G,Memphis Grizzlies,0.477,17.8,3.9,7.3,0.3,1629630,1
2019,Luka Doncic,G,Dallas Mavericks,0.427,21.2,7.8,6,0.3,1629029,1
2018,Ben Simmons,F,Philadelphia 76ers,0.545,15.8,8.1,8.2,0.9,1627732,1
2017,Malcolm Brogdon,G,Milwaukee Bucks,0.457,10.2,2.8,4.2,0.2,1627763,1
2016,Karl-Anthony Towns,F,Minnesota Timberwolves,0.542,18.3,10.5,2,1.7,1626157,1
2015,Andrew Wiggins,F,Minnesota Timberwolves,0.437,16.9,4.6,2.1,0.6,203952,1
2014,Michael Carter-Williams,G,Philadelphia 76ers,0.405,16.7,6.2,6.3,0.6,203487,1
2013,Damian Lillard,G,Portland Trail Blazers,0.429,19,3.1,6.5,0.2,203081,1
2012,Kyrie Irving,PG,Cleveland Cavaliers,0.469,18.5,3.7,5.4,0.4,202681,1
2011,Blake Griffin,PF,LA Clippers,0.506,22.5,12.1,3.8,0.5,201933,1
2010,Tyreke Evans,G,Sacramento Kings,0.458,20.1,5.3,5.8,0.4,201936,1
2009,Derrick Rose,PG,Chicago Bulls,0.475,16.8,3.9,6.3,0.2,201565,1
2008,Kevin Durant,PF,Seattle SuperSonics,0.43,20.3,4.4,2.4,0.9,201142,1
2007,Brandon Roy,SG,Portland Trail Blazers,0.456,16.8,4.4,4,0.2,200750,1
2006,Chris Paul,PG,NO/Oklahoma City Hornets,0.43,16.1,5.1,7.8,0.1,101108,1
2005,Emeka Okafor,C,Charlotte Bobcats,0.447,15.1,10.9,0.9,1.7,2731,1
2004,LeBron James,SF,Cleveland Cavaliers,0.417,20.9,5.5,5.9,0.7,2544,1
2003,Amar'e Stoudemire,C,Phoenix Suns,0.472,13.5,8.8,1,1.1,2405,1
2002,Pau Gasol,PF,Memphis Grizzlies,0.518,17.6,8.9,2.7,2.1,2200,1
2001,Mike Miller,SG,Orlando Magic,0.435,11.9,4,1.7,0.2,2034,1
2000,Elton Brand,PF,Chicago Bulls,0.482,20.1,10,1.9,1.6,1882,1
,Steve Francis,PG,Houston Rockets,0.445,18,5.3,6.6,0.4,1883,1
1999,Vince Carter,G,Toronto Raptors,0.45,18.3,5.7,3,1.5,1713,1
1998,Tim Duncan,C,San Antonio Spurs,0.549,21.1,11.9,2.7,2.5,1495,1
1997,Allen Iverson,SG,Philadelphia 76ers,0.416,23.5,4.1,7.5,0.3,947,1
1996,Damon Stoudamire,PG,Toronto Raptors,No stats available.,,,,,757,1
1995,Grant Hill,SF,Detroit Pistons,0.477,19.9,6.4,5,0.9,255,1
,Jason Kidd,PG,Dallas Mavericks,0.385,11.7,5.4,7.7,0.3,467,1
1994,Chris Webber,C,Golden State Warriors,0.552,17.5,9.1,3.6,2.2,185,1
1993,Shaquille O'Neal,C,Orlando Magic,0.562,23.4,13.9,1.9,3.5,406,1
1992,Larry Johnson,F,Charlotte Hornets,0.49,19.2,11,3.6,0.6,913,1
1991,Derrick Coleman,PF,New Jersey Nets,0.467,18.4,10.3,2.2,1.3,934,1
1990,David Robinson,C,San Antonio Spurs,0.531,24.3,12,2,3.9,764,1
1989,Mitch Richmond,G,Golden State Warriors,0.468,22,5.9,4.2,0.2,782,1
1988,Mark Jackson,PG,New York Knicks,0.432,13.6,4.8,10.6,0.1,349,1
1987,Chuck Person,F,Indiana Pacers,0.468,18.8,8.3,3.6,0.2,456,1
1986,Patrick Ewing,C,New York Knicks,0.474,20,9,2,2.1,121,1
1985,Michael Jordan,G,Chicago Bulls,0.515,28.2,6.5,5.9,0.8,893,1
1984,Ralph Sampson,,Houston Rockets,No stats available.,,,,,78055,1
1983,Terry Cummings,F,San Diego Clippers,No stats available.,,,,,187,1
1982,Buck Williams,F,New Jersey Nets,No stats available.,,,,,433,1
1981,Darrell Griffith,,Utah Jazz,No stats available.,,,,,76890,1
1980,Larry Bird,,Boston Celtics,No stats available.,,,,,1449,1
1979,Phil Ford,G,Kansas City Kings,No stats available.,,,,,76736,1
1978,Walt Davis,FC,Phoenix Suns,No stats available.,,,,,76536,1
1977,Adrian Dantley,,Buffalo Braves,No stats available.,,,,,76504,1
1976,Alvan Adams,,Phoenix Suns,No stats available.,,,,,76011,1
