YEAR,PLY_FG,STAT
1950,34.18,field-goal-percentage
1951,37.5,field-goal-percentage
1952,39.06,field-goal-percentage
1953,36.5,field-goal-percentage
1954,38.62,field-goal-percentage
1955,38.16,field-goal-percentage
1956,38.08,field-goal-percentage
1957,37.6,field-goal-percentage
1958,36.72,field-goal-percentage
1959,39.74,field-goal-percentage
1960,40.02,field-goal-percentage
1961,40.12,field-goal-percentage
1962,41.0,field-goal-percentage
1963,43.34,field-goal-percentage
1964,42.04,field-goal-percentage
1965,43.18,field-goal-percentage
1966,44.16,field-goal-percentage
1967,42.58,field-goal-percentage
1968,44.48,field-goal-percentage
1969,43.18,field-goal-percentage
1970,45.44,field-goal-percentage
1971,44.64,field-goal-percentage
1972,44.62,field-goal-percentage
1973,45.12,field-goal-percentage
1974,44.98,field-goal-percentage
1975,45.56,field-goal-percentage
1976,46.1,field-goal-percentage
1977,46.76,field-goal-percentage
1978,46.44,field-goal-percentage
1979,45.82,field-goal-percentage
1980,47.14,field-goal-percentage
1981,46.92,field-goal-percentage
1982,47.26,field-goal-percentage
1983,48.06,field-goal-percentage
1984,48.34,field-goal-percentage
1985,48.98,field-goal-percentage
1986,49.04,field-goal-percentage
1987,48.62,field-goal-percentage
1988,47.88,field-goal-percentage
1989,46.86,field-goal-percentage
1990,47.54,field-goal-percentage
1991,47.72,field-goal-percentage
1992,47.56,field-goal-percentage
1993,46.62,field-goal-percentage
1994,43.92,field-goal-percentage
1995,46.12,field-goal-percentage
1996,45.66,field-goal-percentage
1997,44.3,field-goal-percentage
1998,45.1,field-goal-percentage
1999,42.68,field-goal-percentage
2000,43.6,field-goal-percentage
2001,43.18,field-goal-percentage
2002,43.4,field-goal-percentage
2003,44.08,field-goal-percentage
2004,42.36,field-goal-percentage
2005,45.42,field-goal-percentage
2006,46.52,field-goal-percentage
2007,44.58,field-goal-percentage
2008,44.64,field-goal-percentage
2009,45.58,field-goal-percentage
2010,45.6,field-goal-percentage
2011,44.22,field-goal-percentage
2012,44.44,field-goal-percentage
2013,44.34,field-goal-percentage
2014,45.88,field-goal-percentage
2015,44.0,field-goal-percentage
2016,44.7,field-goal-percentage
2017,46.84,field-goal-percentage
2018,46.24,field-goal-percentage
2019,44.68,field-goal-percentage
2020,46.38,field-goal-percentage
2021,47.38,field-goal-percentage
2022,46.64,field-goal-percentage
2023,46.78,field-goal-percentage


