YEAR,PLY_RPG,STAT
1950,0,rpg
1951,5.66,rpg
1952,5.14,rpg
1953,5.24,rpg
1954,5.04,rpg
1955,5.42,rpg
1956,5.96,rpg
1957,6.72,rpg
1958,6.66,rpg
1959,6.8,rpg
1960,6.98,rpg
1961,7.22,rpg
1962,7.28,rpg
1963,6.4,rpg
1964,6.58,rpg
1965,6.56,rpg
1966,6.52,rpg
1967,7.0,rpg
1968,6.52,rpg
1969,6.84,rpg
1970,5.66,rpg
1971,5.72,rpg
1972,5.78,rpg
1973,5.38,rpg
1974,5.12,rpg
1975,4.66,rpg
1976,4.54,rpg
1977,4.78,rpg
1978,4.92,rpg
1979,4.78,rpg
1980,4.58,rpg
1981,4.34,rpg
1982,4.46,rpg
1983,4.54,rpg
1984,4.14,rpg
1985,4.34,rpg
1986,4.32,rpg
1987,4.12,rpg
1988,4.24,rpg
1989,4.32,rpg
1990,4.26,rpg
1991,4.08,rpg
1992,4.16,rpg
1993,4.14,rpg
1994,4.28,rpg
1995,4.04,rpg
1996,3.94,rpg
1997,4.12,rpg
1998,3.98,rpg
1999,3.9,rpg
2000,4.14,rpg
2001,4.36,rpg
2002,4.48,rpg
2003,4.26,rpg
2004,4.14,rpg
2005,4.22,rpg
2006,4.22,rpg
2007,4.16,rpg
2008,3.96,rpg
2009,3.94,rpg
2010,3.94,rpg
2011,4.14,rpg
2012,4.14,rpg
2013,3.96,rpg
2014,3.84,rpg
2015,4.42,rpg
2016,3.9,rpg
2017,3.92,rpg
2018,4.08,rpg
2019,4.24,rpg
2020,4.3,rpg
2021,4.24,rpg
2022,4.02,rpg
2023,4.34,rpg
