YEAR,PLY_eFG,STAT
1950,34.18,effective-field-goal-percentage
1951,37.5,effective-field-goal-percentage
1952,39.06,effective-field-goal-percentage
1953,36.5,effective-field-goal-percentage
1954,38.62,effective-field-goal-percentage
1955,38.16,effective-field-goal-percentage
1956,38.08,effective-field-goal-percentage
1957,37.6,effective-field-goal-percentage
1958,36.72,effective-field-goal-percentage
1959,39.74,effective-field-goal-percentage
1960,40.02,effective-field-goal-percentage
1961,40.12,effective-field-goal-percentage
1962,41.0,effective-field-goal-percentage
1963,43.34,effective-field-goal-percentage
1964,42.04,effective-field-goal-percentage
1965,43.18,effective-field-goal-percentage
1966,44.16,effective-field-goal-percentage
1967,42.58,effective-field-goal-percentage
1968,44.48,effective-field-goal-percentage
1969,43.18,effective-field-goal-percentage
1970,45.44,effective-field-goal-percentage
1971,44.64,effective-field-goal-percentage
1972,44.62,effective-field-goal-percentage
1973,45.12,effective-field-goal-percentage
1974,44.98,effective-field-goal-percentage
1975,45.56,effective-field-goal-percentage
1976,46.1,effective-field-goal-percentage
1977,46.76,effective-field-goal-percentage
1978,46.44,effective-field-goal-percentage
1979,45.82,effective-field-goal-percentage
1980,47.66,effective-field-goal-percentage
1981,47.22,effective-field-goal-percentage
1982,47.56,effective-field-goal-percentage
1983,48.44,effective-field-goal-percentage
1984,48.9,effective-field-goal-percentage
1985,49.58,effective-field-goal-percentage
1986,49.82,effective-field-goal-percentage
1987,49.52,effective-field-goal-percentage
1988,48.9,effective-field-goal-percentage
1989,48.58,effective-field-goal-percentage
1990,48.98,effective-field-goal-percentage
1991,49.24,effective-field-goal-percentage
1992,49.08,effective-field-goal-percentage
1993,48.58,effective-field-goal-percentage
1994,46.6,effective-field-goal-percentage
1995,50.36,effective-field-goal-percentage
1996,49.58,effective-field-goal-percentage
1997,48.46,effective-field-goal-percentage
1998,48.12,effective-field-goal-percentage
1999,45.44,effective-field-goal-percentage
2000,46.86,effective-field-goal-percentage
2001,46.24,effective-field-goal-percentage
2002,46.74,effective-field-goal-percentage
2003,47.64,effective-field-goal-percentage
2004,45.46,effective-field-goal-percentage
2005,49.06,effective-field-goal-percentage
2006,50.16,effective-field-goal-percentage
2007,48.56,effective-field-goal-percentage
2008,48.42,effective-field-goal-percentage
2009,49.72,effective-field-goal-percentage
2010,49.66,effective-field-goal-percentage
2011,47.8,effective-field-goal-percentage
2012,47.74,effective-field-goal-percentage
2013,48.72,effective-field-goal-percentage
2014,50.72,effective-field-goal-percentage
2015,48.86,effective-field-goal-percentage
2016,49.84,effective-field-goal-percentage
2017,52.68,effective-field-goal-percentage
2018,52.16,effective-field-goal-percentage
2019,51.0,effective-field-goal-percentage
2020,53.74,effective-field-goal-percentage
2021,54.08,effective-field-goal-percentage
2022,53.56,effective-field-goal-percentage
2023,53.22,effective-field-goal-percentage

