INDEX,ID,PLAYER_NAME,PLY_GW,PLY_GP
0,76001,Alaa Abdelnaby,9,17
1,76002,Zaid Abdul-Aziz,8,18
2,76003,Kareem Abdul-Jabbar,154,237
3,51,Mahmoud Abdul-Rauf,6,15
4,1505,Tariq Abdul-Wahad,4,13
5,949,Shareef Abdur-Rahim,2,6
6,76005,Tom Abernethy,5,13
7,76006,Forest Able,0,0
8,76007,John Abramovic,0,0
9,203518,Alex Abrines,3,11
10,1630173,Precious Achiuwa,2,9
11,101165,Alex Acker,0,0
12,76008,Donald Ackerman,0,4
13,76009,Mark Acres,9,19
14,76010,Charles Acton,0,0
15,203112,Quincy Acy,0,0
16,76011,Alvan Adams,35,78
17,76012,Don Adams,9,22
18,200801,Hassan Adams,3,6
19,1629121,Jaylen Adams,0,0
20,203919,Jordan Adams,1,4
21,149,Michael Adams,6,20
22,203500,Steven Adams,30,66
23,912,Rafael Addison,2,6
24,1628389,Bam Adebayo,38,69
25,1629061,Deng Adel,0,0
26,76015,Rick Adelman,6,21
27,202399,Jeff Adrien,0,0
28,201167,Arron Afflalo,16,35
29,1630534,Ochai Agbaji,0,0
30,200772,Maurice Ager,1,3
31,76016,Mark Aguirre,60,102
32,201336,Blake Ahearn,0,3
33,76017,Danny Ainge,115,193
34,201582,Alexis Ajinca,0,3
35,76018,Henry Akin,0,2
36,203006,Josh Akognon,0,0
37,1629152,DeVaughn Akoon-Purcell,0,0
38,202374,Solomon Alabi,0,0
39,76019,Mark Alarie,0,4
40,76020,Gary Alcorn,0,0
41,1630583,Santi Aldama,2,6
42,203128,Furkan Aldemir,0,0
43,202332,Cole Aldrich,6,11
44,200746,LaMarcus Aldridge,30,72
45,76021,Chuck Aleksinas,0,0
46,1626146,Cliff Alexander,0,0
47,724,Cory Alexander,4,9
48,2042,Courtney Alexander,2,5
49,76022,Gary Alexander,0,0
50,201570,Joe Alexander,0,0
51,1629734,Kyle Alexander,0,0
52,1630234,Ty-Shon Alexander,0,1
53,2349,Victor Alexander,2,5
54,1629638,Nickeil Alexander-Walker,1,6
55,76024,Steve Alford,4,13
56,1628959,Rawle Alkins,0,0
57,76028,Bob Allen,0,4
58,1628960,Grayson Allen,9,24
59,1628386,Jarrett Allen,2,14
60,706,Jerome Allen,0,0
61,1628443,Kadeem Allen,0,0
62,202730,Lavoy Allen,11,25
63,76027,Lucius Allen,24,43
64,2124,Malik Allen,14,29
65,76025,Randy Allen,0,0
66,951,Ray Allen,100,171
67,2754,Tony Allen,58,112
68,76029,Odis Allison,0,0
69,200984,Lance Allred,0,0
70,76030,Darrell Allums,0,0
71,201165,Morris Almond,0,0
72,308,Derrick Alston,0,0
73,1747,Rafer Alston,28,56
74,1824,Peter Aluma,0,0
75,1630631,Jose Alvarado,2,6
76,680,John Amaechi,1,7
77,732,Ashraf Amaya,0,0
78,202329,Al-Farouq Aminu,14,40
79,200811,Lou Amundson,16,29
80,76034,Bob Anderegg,0,0
81,2365,Chris Andersen,41,73
82,2431,David Andersen,0,0
83,101187,Alan Anderson,7,18
84,202079,Antonio Anderson,0,0
85,76035,Cliff Anderson,3,3
86,76036,Daniel Anderson,0,0
87,1507,Derek Anderson,10,24
88,76037,Dwight Anderson,0,0
89,944,Eric Anderson,0,2
90,246,Greg Anderson,4,17
91,202341,James Anderson,7,10
92,76040,Jerome Anderson,3,4
93,1626147,Justin Anderson,6,15
94,72,Kenny Anderson,16,36
95,76041,Kim Anderson,0,0
96,203937,Kyle Anderson,22,51
97,76042,Michael Anderson,0,0
98,76043,Mitchell Anderson,2,5
99,98,Nick Anderson,23,49
100,76045,Richard Anderson,4,15
101,76046,Ron Anderson,10,27
102,201583,Ryan Anderson,22,46
103,1000,Shandon Anderson,44,74
104,335,Willie Anderson,26,52
105,76048,Wally Anderzunas,0,0
106,101149,Martynas Andriuskevicius,0,0
107,76049,Don Anielak,0,0
108,1628387,Ike Anigbogu,0,0
109,76050,Michael Ansley,0,0
110,1512,Chris Anstey,0,0
111,203507,Giannis Antetokounmpo,43,79
112,1628961,Kostas Antetokounmpo,0,0
113,203648,Thanasis Antetokounmpo,14,23
114,2546,Carmelo Anthony,28,83
115,1630175,Cole Anthony,0,0
116,21,Greg Anthony,55,102
117,201202,Joel Anthony,37,66
118,203544,Pero Antic,11,22
119,1628384,O.G. Anunoby,13,27
120,203951,Keith Appling,0,0
121,2737,Rafael Araujo,2,5
