SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,2544,0022301127,6-Apr-24,LAL vs. CLE,W,36,10,18,0.556,1,5,0.2,3,5,0.6,0,5,5,12,1,1,5,1,24,10,1
22023,2544,0022301103,3-Apr-24,LAL @ WAS,W,36,9,18,0.5,0,1,0,7,9,0.778,2,5,7,9,3,0,4,2,25,9,1
22023,2544,0022301094,2-Apr-24,LAL @ TOR,W,29,10,12,0.833,1,1,1,2,5,0.4,0,4,4,9,0,0,1,0,23,13,1
22023,2544,0022301078,31-Mar-24,LAL @ BKN,W,37,13,17,0.765,9,10,0.9,5,6,0.833,1,6,7,5,0,0,4,0,40,22,1
22023,2544,0022301063,29-Mar-24,LAL @ IND,L,35,6,12,0.5,0,3,0,4,4,1,1,9,10,8,0,0,5,1,16,-13,1
22023,2544,0022301055,27-Mar-24,LAL @ MEM,W,35,8,14,0.571,0,1,0,7,11,0.636,0,14,14,12,1,0,4,1,23,33,1
22023,2544,0022301032,24-Mar-24,LAL vs. IND,W,38,8,19,0.421,2,4,0.5,8,8,1,1,4,5,10,1,1,3,1,26,12,1
22023,2544,0022301018,22-Mar-24,LAL vs. PHI,W,38,7,15,0.467,1,3,0.333,5,7,0.714,0,8,8,6,0,1,8,1,20,7,1
22023,2544,0022300990,18-Mar-24,LAL vs. ATL,W,29,10,14,0.714,2,5,0.4,3,3,1,0,7,7,10,0,0,2,0,25,20,1
22023,2544,0022300973,16-Mar-24,LAL vs. GSW,L,38,15,23,0.652,3,5,0.6,7,8,0.875,3,5,8,9,1,1,4,1,40,-6,1
22023,2544,0022300954,13-Mar-24,LAL @ SAC,L,40,6,16,0.375,2,8,0.25,4,6,0.667,1,12,13,9,2,0,5,3,18,-10,1
22023,2544,0022300932,10-Mar-24,LAL vs. MIN,W,38,10,16,0.625,2,4,0.5,7,9,0.778,0,8,8,9,0,0,4,1,29,14,1
22023,2544,0022300901,6-Mar-24,LAL vs. SAC,L,36,10,16,0.625,1,4,0.25,10,10,1,0,5,5,13,1,0,3,0,31,-3,1
22023,2544,0022300884,4-Mar-24,LAL vs. OKC,W,31,7,14,0.5,1,3,0.333,4,5,0.8,1,10,11,8,1,0,3,1,19,14,1
22023,2544,0022300869,2-Mar-24,LAL vs. DEN,L,37,12,20,0.6,2,5,0.4,0,2,0,0,4,4,9,3,0,3,1,26,-1,1
22023,2544,0022300856,29-Feb-24,LAL vs. WAS,W,39,12,24,0.5,2,5,0.4,5,7,0.714,0,4,4,9,1,1,4,1,31,-5,1
22023,2544,0022300848,28-Feb-24,LAL @ LAC,W,37,13,21,0.619,7,12,0.583,1,1,1,1,5,6,8,0,2,3,2,34,11,1
22023,2544,0022300818,25-Feb-24,LAL @ PHX,L,37,12,19,0.632,3,6,0.5,1,4,0.25,1,6,7,12,2,1,3,3,28,-8,1
22023,2544,0022300813,23-Feb-24,LAL vs. SAS,W,34,13,22,0.591,2,3,0.667,2,2,1,1,6,7,9,1,0,2,0,30,21,1
22023,2544,0022300776,13-Feb-24,LAL vs. DET,W,31,9,15,0.6,3,6,0.5,4,4,1,0,1,1,8,0,0,4,0,25,9,1
22023,2544,0022300747,9-Feb-24,LAL vs. NOP,W,38,6,13,0.462,2,2,1,7,8,0.875,1,3,4,14,1,1,2,2,21,15,1
22023,2544,0022300740,8-Feb-24,LAL vs. DEN,L,35,9,20,0.45,2,6,0.333,5,5,1,1,8,9,7,1,1,2,0,25,-6,1
22023,2544,0022300713,5-Feb-24,LAL @ CHA,W,40,12,22,0.545,0,5,0,2,3,0.667,0,4,4,7,1,1,4,2,26,2,1
22023,2544,0022300701,3-Feb-24,LAL @ NYK,W,40,10,19,0.526,2,5,0.4,2,2,1,1,4,5,5,2,1,1,1,24,11,1
